case_id,split,evaluation_contract,company,mechanism,cutoff,target,horizon,metric,profit_metric,unit,actual,v71,v72,confidence,point_evaluable,human_required,source_ids,point_in_time_note,v71_point_error,v71_margin_error_pp,v71_direction_correct,v71_sign_correct,v71_low,v71_high,v71_hit,v71_interval_score,v72_point_error,v72_margin_error_pp,v72_direction_correct,v72_sign_correct,v72_low,v72_high,v72_hit,v72_interval_score
NFLX@FY2016,holdout,point-and-interval,Netflix,subscriber-content-economics,FY2016,FY2019,3,revenue,operating income,USD bn,20.156447,15.0,19.2,80%,True,True,NFLX_2016_10K / NFLX_2017_10K / NFLX_2018_10K / NFLX_2019_10K,"International contribution economics were approaching inflection while content payments, obligations and debt still constrained cash economics.",0.255821226826335,,True,,11.25,18.75,False,1.0698547219160202,0.04745117033770886,,True,,15.744,22.656,True,0.34291757867842476
NFLX@FY2016,holdout,point-and-interval,Netflix,subscriber-content-economics,FY2016,FY2019,3,profit,operating income,USD bn,2.604254,1.4,2.35,80%,True,True,NFLX_2016_10K / NFLX_2017_10K / NFLX_2018_10K / NFLX_2019_10K,"International contribution economics were approaching inflection while content payments, obligations and debt still constrained cash economics.",,3.586870311684065,,True,-0.10000000000000009,2.9,True,0.148835754634733,,0.6806203116840631,,True,1.678,3.0220000000000002,True,0.0666784180763604
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2019,1,revenue,operating income,USD bn,20.156447,18.5,19.8,80%,True,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,0.08217951308581319,,True,,16.650000000000002,20.35,True,0.18356409738283733,0.01768401941076219,,True,,18.216,21.384000000000004,True,0.1571705568942782
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2019,1,profit,operating income,USD bn,2.604254,2.2,2.45,80%,True,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,,1.0283117531255048,,True,1.4600000000000002,2.9400000000000004,True,0.07342563895313496,,0.546466271280023,,True,2.0540000000000003,2.846,True,0.0392926392235695
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2020,2,revenue,operating income,USD bn,24.996056,21.5,23.5,90%,False,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,,,,,17.630000000000003,25.369999999999997,True,0.30964885020260774,,,,,16.919999999999998,30.080000000000002,True,0.526483057967225
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2020,2,profit,operating income,USD bn,4.585289,3.0,3.65,90%,False,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,,,,,1.4949999999999999,4.505,False,0.1846603320139789,,,,,1.2999999999999998,6.0,True,0.1880296635597232
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2021,3,revenue,operating income,USD bn,29.697844,24.5,27.0,90%,False,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,,,,,18.375,30.625,True,0.41248785602079396,,,,,17.55,36.45,True,0.6364098350035108
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2021,3,profit,operating income,USD bn,6.194509,3.8,5.0,90%,False,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,,,,,1.3499999999999996,6.25,True,0.1649951424083176,,,,,1.2199999999999998,8.780000000000001,True,0.2545639340014043
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2020,1,revenue,operating income,USD bn,24.996056,23.5,23.8,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,21.150000000000002,25.85,True,0.18802966355972317,,,,,18.564,29.036,True,0.4189460929356216
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2020,1,profit,operating income,USD bn,4.585289,3.4,3.8,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,2.46,4.34,False,0.2714740277426171,,,,,1.658,5.942,True,0.17138703801911792
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2021,2,revenue,operating income,USD bn,29.697844,27.0,27.5,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,22.14,31.86,True,0.327296486573234,,,,,19.25,35.75,True,0.5555958877014776
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2021,2,profit,operating income,USD bn,6.194509,4.2,5.0,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,2.31,6.09,False,0.1976635071556037,,,,,1.7000000000000002,8.3,True,0.22223835508059106
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2022,3,revenue,operating income,USD bn,31.61555,30.5,30.0,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,22.875,38.125,True,0.4823575740418876,,,,,19.5,40.5,True,0.6642301019593206
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2022,3,profit,operating income,USD bn,5.632831,5.1,5.6,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,2.0499999999999994,8.15,True,0.1929430296167551,,,,,1.0999999999999996,10.1,True,0.2846700436968517
