assumption_id,category,description,bear,base,bull,unit,source_ids,rationale,confidence,trigger
A042,shares,"FY2030 diluted shares",156,150,140,"mm shares","S019","Model assumption; Bull uses more of the authorization and future cash generation",Low,"Capital allocation or share-based compensation changes"
A043,endmarket_mix,"FY2027 Datacenter revenue share",0.30,0.35,0.42,"decimal","S012;S013;S022;S027","Model assumption; enterprise SSD opportunity is stage-gated",Low,"Datacenter revenue share differs by more than 5 percentage points"
A044,endmarket_mix,"FY2028 Datacenter revenue share",0.33,0.44,0.55,"decimal","S022;S024;S025;S027","Model assumption; higher cases require qualification and volume ramp",Low,"BiCS10 qualification or enterprise customer ramp slips or accelerates"
A045,endmarket_mix,"FY2029 Datacenter revenue share",0.36,0.49,0.61,"decimal","S024;S025;S027","Model assumption; not a SanDisk market-share forecast",Low,"Reported Datacenter mix fails to track the scenario"
A046,endmarket_mix,"FY2030 Datacenter revenue share",0.39,0.53,0.65,"decimal","S024;S025","Model assumption; Bull approaches the supplier ecosystem's enterprise ambition",Low,"Long-term enterprise mix settles outside the range"
A047,endmarket_mix,"FY2027 Consumer revenue share",0.17,0.15,0.12,"decimal","S004;S008;S010;S012","Model assumption reflecting faster Datacenter growth",Medium,"Consumer revenue or pricing materially outperforms the assumed mix"
A048,endmarket_mix,"FY2028 Consumer revenue share",0.16,0.13,0.10,"decimal","S004;S024","Model assumption; residual business mix remains internally consistent",Low,"Consumer storage demand changes structurally"
A049,endmarket_mix,"FY2029 Consumer revenue share",0.15,0.12,0.09,"decimal","S004;S024","Model assumption; not company guidance",Low,"Consumer share differs by more than 4 percentage points"
A050,endmarket_mix,"FY2030 Consumer revenue share",0.14,0.11,0.08,"decimal","S004;S024","Model assumption; Bull has the greatest enterprise mix shift",Low,"End-market classification or strategy changes"
A051,endmarket_mix,"FY2027 Edge revenue share as residual",0.53,0.50,0.46,"decimal","S004;S008;S010;S012","Calculated as one less Datacenter and Consumer shares",Medium,"End-market shares do not sum to one after updates"
A052,endmarket_mix,"FY2028 Edge revenue share as residual",0.51,0.43,0.35,"decimal","S004;S024","Calculated as one less Datacenter and Consumer shares",Medium,"End-market shares do not sum to one after updates"
A053,endmarket_mix,"FY2029 Edge revenue share as residual",0.49,0.39,0.30,"decimal","S004;S024","Calculated as one less Datacenter and Consumer shares",Medium,"End-market shares do not sum to one after updates"
A054,endmarket_mix,"FY2030 Edge revenue share as residual",0.47,0.36,0.27,"decimal","S004;S024","Calculated as one less Datacenter and Consumer shares",Medium,"End-market shares do not sum to one after updates"
A055,quarterly_fy27,"FY2027 Q1 revenue",6500,8600,9500,"USD mm","S011;S020;S028;S029","Model assumption starting from Q4 FY2026 guidance and scenario price paths",Low,"FY2026 Q4 actual or FY2027 Q1 guidance differs materially"
A056,quarterly_fy27,"FY2027 Q2 revenue",5700,8800,10200,"USD mm","S024;S029;S031","Rounded model input; annual reconciliation is applied only to Q4",Low,"Sequential NAND pricing differs from scenario"
A057,quarterly_fy27,"FY2027 Q3 revenue",5000,8300,11000,"USD mm","S024;S029;S031","Rounded model input reflecting scenario-specific cycle progression",Low,"Enterprise SSD mix or volume ramp differs materially"
A058,quarterly_fy27,"FY2027 Q4 revenue before annual-formula reconciliation",4400,7510,12050,"USD mm","S024;S025;S029","Rounded model input; model uses 4396.96/7505.326/12043.983333 so quarterly sums equal annual formula",Low,"Update with company guidance and preserve the reconciliation"
A059,quarterly_fy27,"FY2027 Q1 gross margin",0.68,0.80,0.82,"decimal","S011;S020;S026","Model assumption near the FY2026 peak exit rate",Low,"FY2026 Q4 actual gross margin differs materially"
A060,quarterly_fy27,"FY2027 Q2 gross margin",0.58,0.79,0.82,"decimal","S024;S026;S029","Model assumption; Bear begins rapid normalization",Low,"Quarterly price-cost spread differs materially"
A061,quarterly_fy27,"FY2027 Q3 gross margin",0.48,0.72,0.81,"decimal","S024;S025;S029","Model assumption reflecting divergent price and utilization outcomes",Low,"Company margin guidance falls outside the range"
A062,quarterly_fy27,"FY2027 Q4 gross margin",0.42,0.65,0.80,"decimal","S024;S025;S029","Model assumption; Bull sustains peak conditions while Bear normalizes",Low,"Supply-demand balance turns at a different time"
A063,valuation,"Transition earnings multiple applied to FY2027E EPS",8,10,14,"x P/E","S011;S020;S026","Model assumption; lower multiple acknowledges peak-cycle and execution risk",Low,"Market rerates comparable memory names or cycle visibility changes"
A064,valuation,"Normalized earnings multiple applied to average FY2029E and FY2030E EPS",10,16,18,"x P/E","S024;S025;S026","Model assumption; averaging two years reduces dependence on one normalized endpoint and Base/Bull credit enterprise mix",Low,"SanDisk demonstrates durable enterprise economics or reverts to commodity returns"
A065,valuation,"Scenario excess cash allowance per share",10,50,100,"USD/share","S015;S019","Model assumption after strategic investment and scenario-dependent capital return; distinct from spot pro-forma cash",Low,"Cash deployment or buyback execution becomes observable"
A066,valuation,"Weight on transition-value component",0.40,0.40,0.40,"decimal","S011;S020","Model choice to acknowledge near-cycle earnings without making them the sole anchor",Medium,"Valuation framework is changed or FY2027 ceases to be the transition year"
A067,valuation,"Weight on normalized-value component",0.60,0.60,0.60,"decimal","S024;S025;S029","Model choice emphasizing normalized economics over peak margins",Medium,"A structural regime break is proven with sustained enterprise revenue and margins"
A068,market,"Pro-forma excess cash after Nanya payment",2763,2763,2763,"USD mm","S015;S019","Latest reported cash less the post-balance-sheet Nanya cash outflow; Nanya stake value excluded",High,"New balance sheet or further capital allocation is disclosed"
